91,2001-1,,2020-01-21 02:22:34.486621+00,,8,arr,,,,,,,2020-01-21 02:22:34.486621+00,,
92,2001-2,,2020-01-21 02:24:00.187848+00,,8,arr,,,,,,,2020-01-21 02:24:00.187848+00,,
93,2001-3,,2020-01-21 02:25:51.237322+00,,8,arr,,,,,,,2020-01-21 02:25:51.237322+00,,
94,2001-4,,2020-01-21 02:27:38.010983+00,,8,arr,,,,,,,2020-01-21 02:27:38.010983+00,,
95,2001-5,,2020-01-21 02:29:13.302517+00,,8,arr,,,,,,,2020-01-21 02:29:13.302517+00,,
96,2001-6,,2020-01-21 02:30:16.769144+00,,8,arr,,,,,,,2020-01-21 02:30:16.769144+00,,
97,2002-15,,2020-02-19 15:44:49.273566+00,,2,arr,,,,,,,2020-02-19 15:44:49.273566+00,,
98,2002-16,,2020-02-19 15:46:24.444435+00,,2,arr,,,,,,,2020-02-19 15:46:24.444435+00,,
89,1910-25,10,2019-12-13 23:15:24.200225+00,,12,awlr,,,,,,,2019-12-13 23:15:24.200225+00,,
103,2003-3,,2020-07-03 06:28:33.057169+00,,2,awlr,,,,,,,2020-07-03 06:28:33.057169+00,,
108,2008-4,,2020-08-18 07:08:06.540011+00,2020-08-18 11:20:45+00,8,awlr,,,,,,,2020-08-18 07:08:06.540011+00,2020-08-18 11:20:45+00,
102,1910-27,13,2020-06-25 03:44:53.300517+00,,15,awlr,,,,,,,2020-06-25 03:44:53.300517+00,,
109,2008-5,,2020-08-18 07:08:23.971874+00,2020-08-18 11:21:15+00,8,awlr,,,,,,,2020-08-18 07:08:23.971874+00,2020-08-18 11:21:15+00,
118,2009-2,,2020-09-14 20:49:53.973994+00,2020-09-23 06:38:49+00,15,arr,,,,0.2,,,2020-09-14 20:49:53.973994+00,2020-09-23 06:38:49+00,
37,1908-9,20,2019-09-11 05:53:58.560153+00,2020-10-24 02:48:18+00,7,arr,,,,,,,2019-09-11 05:53:58.560153+00,2020-10-24 02:48:18+00,
119,2009-3,,2020-09-14 20:50:38.734122+00,2020-09-23 06:38:22+00,15,awlr,,,,,,,2020-09-14 20:50:38.734122+00,2020-09-23 06:38:22+00,
120,2009-8,,2020-09-23 06:14:20.743902+00,,4,arr,,,,,,,2020-09-23 06:14:20.743902+00,,
33,1908-5,23,2019-09-11 05:40:23.146115+00,2020-10-24 02:53:08+00,7,awlr,,,,,,,2019-09-11 05:40:23.146115+00,2020-10-24 02:53:08+00,
44,1908-8,21,2019-09-21 08:56:45.387963+00,2020-10-24 02:53:33+00,7,awlr,,,,,,,2019-09-21 08:56:45.387963+00,2020-10-24 02:53:33+00,
35,1908-6,24,2019-09-11 05:53:26.829888+00,2020-10-24 02:54:09+00,7,awlr,,,,,,,2019-09-11 05:53:26.829888+00,2020-10-24 02:54:09+00,
36,1908-7,25,2019-09-11 05:53:43.107966+00,2020-10-24 02:54:33+00,7,awlr,,,,,,,2019-09-11 05:53:43.107966+00,2020-10-24 02:54:33+00,
121,2011-3,,2020-11-26 12:41:03.52021+00,,1,arr,,,,,,,2020-11-26 12:41:03.52021+00,,
68,1910-30,,2019-11-02 08:36:03.854256+00,,4,arr,,,,0.5,,,2019-11-02 08:36:03.854256+00,,
38,1908-3,22,2019-09-14 07:44:41.344255+00,2020-10-24 02:48:52+00,7,arr,,,,0.5,,,2019-09-14 07:44:41.344255+00,2020-10-24 02:48:52+00,
113,2008-9,29,2020-08-26 08:05:47.193635+00,,10,arr,,,0.9,0.2,,,2020-08-26 08:05:47.193635+00,,
76,1908-10,28,2019-11-26 10:44:02.936654+00,,10,arr,,,,0.02,,,2019-11-26 10:44:02.936654+00,,
110,2008-6,,2020-08-26 07:59:59.298649+00,2021-06-16 06:49:04+00,15,arr,,,,0.2,,,2020-08-26 07:59:59.298649+00,2021-06-16 06:49:04+00,
112,2008-8,30,2020-08-26 08:05:22.301167+00,,10,arr,,,,0.2,,,2020-08-26 08:05:22.301167+00,,
104,1912-3,15,2020-07-16 15:25:10.359125+00,,16,awlr,,,,,1270,,2020-07-16 15:25:10.359125+00,,
6,1811-3,,2018-12-09 23:41:43.79876+00,,2,arr,,,,0.2,,,2018-12-09 23:41:43.79876+00,,
87,1910-23,7,2019-12-13 23:12:59.185287+00,,12,arr,,,,0.5,,,2019-12-13 23:12:59.185287+00,,
