primaBot/2207-1/0.8 ARR/data/m_2022Jun.csv
sampling,up_since,batt,signal_quality,tick,tipping_factor
"2022-06-10T20:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T20:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T20:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T20:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T20:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T20:55:00+07", "2022-06-10T17:19:07+07",12.2, 9, 0, 0.2
"2022-06-10T21:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T21:05:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-10T21:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T21:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T21:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T21:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T21:30:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T21:35:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T21:40:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T21:45:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T21:50:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T21:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T22:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-10T22:05:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-10T22:10:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-10T22:15:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:20:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:25:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-10T22:30:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:35:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:40:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:45:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:50:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T22:55:00+07", "2022-06-10T17:19:07+07",12.2, 6, 0, 0.2
"2022-06-10T23:00:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T23:05:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T23:10:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T23:15:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T23:20:00+07", "2022-06-10T17:19:07+07",12.2, 8, 0, 0.2
"2022-06-10T23:25:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-10T23:30:00+07", "2022-06-10T17:19:07+07",12.2, 8, 0, 0.2
"2022-06-10T23:35:00+07", "2022-06-10T17:19:07+07",12.2, 9, 0, 0.2
"2022-06-10T23:40:00+07", "2022-06-10T17:19:07+07",12.2, 9, 0, 0.2
"2022-06-10T23:45:00+07", "2022-06-10T17:19:07+07",12.2, 10, 0, 0.2
"2022-06-10T23:50:00+07", "2022-06-10T17:19:07+07",12.2, 0, 0, 0.2
"2022-06-10T23:55:00+07", "2022-06-10T17:19:07+07",12.2, 4, 0, 0.2
"2022-06-11T00:00:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-11T00:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T00:55:00+07", "2022-06-10T17:19:07+07",12.2, 4, 0, 0.2
"2022-06-11T01:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
